nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId
NSC-EST01,2__PEENG000,,,E.ON Energy Solutions Limited,G,True,2__PEENG000,PGENERGY,0.000,0.000,C,-0.0381051,0.000,0.000,0.000,0.000,False,False,_P,NORTH of SCOTLAND GSP,
NSC-GDF01,2__PRWED000,,,ENGIE Power Limited,G,True,2__PRWED000,RWETDL,-38.000,64.000,C,-0.0200357,-4.210,-7.402,7.091,12.467,False,False,_P,North Scotland,
NSC-HPW01,2__PHPOW000,,,Drax Energy Solutions Limited,G,True,2__PHPOW000,HAVEN,-36.358,9.460,C,-0.0200357,-26.196,-19.884,6.816,5.174,False,False,_P,North Scotland,
NSC-HVN01,2__PHAVE000,,,Drax Energy Solutions Limited,G,True,2__PHAVE000,HAVEN,0.000,35.500,C,-0.0200357,0.000,0.000,7.810,7.810,False,False,_P,North Scotland,
NSC-INE01,2__PINDE000,,,npower limited,G,True,INDE Scottish Hydro,NEEB,-3.720,0.000,C,-0.0242162,-1.667,-1.363,0.000,0.000,False,False,_P,NORTH of SCOTLAND GSP,
NSC-LON01,2__PLOND000,,,EDF Energy Customers Limited,G,True,Default LOND BMU for _P,LENCO,-100.000,20.000,C,-0.0200357,-49.550,-33.680,9.910,6.736,False,False,_P,North Scotland,
NSC-MID01,2__PMIDE000,,,Npower Limited,G,True,NPEC Scottish Hydro Area MIDE,NPOWER01,-0.140,0.000,C,-0.0242162,-0.067,-0.071,0.000,0.000,False,False,_P,NORTH of SCOTLAND GSP,
NSC-MNW01,2__PMANW000,,,ScottishPower Energy Retail,G,True,2__PMANW000,SPSUP01,0.000,0.000,C,-0.0200357,0.000,0.000,0.000,0.000,False,False,_P,North Scotland,
NSC-NEE01,2__PNEEB000,,,npower limited,G,True,Scottish Hydro,NEEB,-3.240,0.000,C,-0.0242162,-1.880,-1.851,0.000,0.000,False,False,_P,NORTH of SCOTLAND GSP,
NSC-NPE01,2__PNATP000,,,Npower Commercial Gas Limited,G,True,NPEC Scottish Hydro Area NATP,NPOWER02,-76.000,56.000,C,-0.0200357,-38.144,-27.140,28.106,19.998,False,False,_P,North Scotland,
NSC-OCT01,2__PMRCY000,,,Octopus Energy Limited,G,True,2__PMRCY000,MERCURY,-119.551,164.920,C,-0.0200357,-27.126,-28.537,37.420,39.366,False,False,_P,North Scotland,
NSC-OGA01,2__POGAS000,,,British Gas Trading Ltd,G,True,2__POGAS000,BRITGAS,0.000,0.000,C,-0.0200357,0.000,0.000,0.000,0.000,False,False,_P,North Scotland,
NSC-OVO01,2__POVOE000,,,OVO Electricity Ltd,G,False,2__POVOE000,OVOE,-165.000,230.204,C,-0.0200357,-79.365,-85.091,110.728,118.716,False,False,_P,North Scotland,
NSC-PGE01,2__PEMEB000,,,E.ON Energy Solutions Limited,G,True,2__PEMEB000,PGENERGY,0.000,0.000,C,-0.0200357,0.000,0.000,0.000,0.000,False,False,_P,North Scotland,
NSC-PGU01,2__PPGEN000,,,E.ON UK LTD,G,True,2__PPGEN000,POWERGEN,0.000,0.000,C,-0.0200357,0.000,0.000,0.000,0.000,False,False,_P,North Scotland,
NSC-SEE01,2__PSEEB000,,,EDF Energy Customers Limited,G,True,Default SEEB BMU for _P,LENCO,-2.000,0.000,C,-0.0200357,-0.922,-0.621,0.000,0.000,False,False,_P,North Scotland,
NSC-SEL01,2__PSMAR000,,,Smartestenergy Limited,G,True,2__PSMAR000,SMARTEST,-42.819,0.000,C,-0.0200357,-31.609,-26.235,0.000,0.000,False,False,_P,North Scotland,
NSC-SPC01,2__PSPOW000,,,ScottishPower Energy Retail,G,True,2__PSPOW000,SPSUP01,-32.400,43.400,C,-0.0200357,-7.919,-5.433,10.607,7.278,False,False,_P,North Scotland,
NSC-SSE01,2__PHYDE000,,,OVO Electricity Ltd,G,True,HYDE North Scotland,OVOE,-1.120,0.000,C,-0.0230428,0.000,0.000,0.000,0.000,False,False,_P,North Scotland,
NSC-STH01,2__PSOUT000,,,OVO Electricity Ltd,G,True,SOUT North Scotland,OVOE,0.000,0.000,C,-0.0323359,0.000,0.000,0.000,0.000,False,False,_P,North Scotland,
NSC-SWA01,2__PSWAE000,,,OVO Electricity Ltd,G,False,SWAE North Scotland,OVOE,0.000,0.000,C,-0.0230428,0.000,0.000,0.000,0.000,False,False,_P,North Scotland,
NSC-SWT01,2__PSWEB000,,,EDF Energy Customers Limited,G,True,Default SWEB BMU for _P,LENCO,0.000,0.000,C,-0.0200357,0.000,0.000,0.000,0.000,False,False,_P,North Scotland,
NSC-SYM01,2__PSYMB000,,,E.ON Next Energy Ltd,G,True,2__PSYMB000,NITTWO01,0.000,0.000,C,-0.0398132,0.000,0.000,0.000,0.000,False,False,_P,NORTH of SCOTLAND GSP,
NSC-TFE01,2__PTGPL000,,,TotalEnergies Gas & Power Ltd,G,False,2__PTGPL000,TFEGP,-58.621,4.133,C,-0.0200357,-41.638,-35.653,2.936,2.514,False,False,_P,North Scotland,
NSC-TIL01,2__PTILL000,,,British Gas Trading Ltd,G,True,2__PTILL000,BRITGAS,-55.807,0.000,C,-0.0200357,-29.489,-30.878,0.000,0.000,False,False,_P,North Scotland,
NSC-YEP01,2__PYELG000,,,npower limited,G,True,_P Default BM Scottish Hydro,YE,0.000,0.000,C,-0.0242162,0.000,0.000,0.000,0.000,False,False,_P,NORTH of SCOTLAND GSP,
NSQYT-1,,,OTHER,,,,,,,,,,,,,,False,False,,,
NTAWB-1,E_NTAWB-1,,,EDF Energy Customers Limited,E,True,North Tawton BESS,LENCO,-32.000,32.000,C,0.0173142,-12.800,-12.800,12.800,12.800,True,False,_L,South Western,
NTRVB-1,T_NTRVB-1,48W00000NTRVB-1R,,Arenko Cleantech Limited,T,True,Native River,AG,-57.000,57.000,C,0.0014796,-1.066,-1.066,1.066,1.066,False,False,,,
NURSB-1,T_NURSB-1,,,EDF Energy Customers Limited,T,True,Nursling Battery Storage,LENCO,-52.000,48.000,C,0.0154722,-20.800,-20.800,19.200,19.200,True,False,,,
NWP-ATL01,2__GIMPO000,,,SSE Energy Supply Limited,G,True,2__GIMPO000,SSE,-111.400,0.000,C,-0.0044771,-81.266,-69.113,0.000,0.000,False,False,_G,North Western,
NWP-AXPO1,2__GAXPO000,,,AXPO UK LIMITED,G,False,2__GAXPO000,EGLUK,-16.000,0.500,C,-0.0044771,-9.166,-4.797,0.286,0.150,False,False,_G,North Western,
NWP-BGS01,2__GBGAS000,,,British Gas Trading Ltd,G,True,2__GBGAS000,BRITGAS,-1.276,0.000,C,-0.0044771,-0.223,-0.235,0.000,0.000,False,False,_G,North Western,
NWP-BIZ01,2__GBIZZ000,,,British Gas Trading Ltd,G,True,2__GBIZZ000,BRITGAS,-29.812,0.000,C,-0.0044771,-17.887,-14.802,0.000,0.000,False,False,_G,North Western,
NWP-EAS01,2__GEELC000,,,E.ON Energy Solutions Limited,G,True,2__GEELC000,PGENERGY,0.000,0.000,C,-0.0088864,0.000,0.000,0.000,0.000,False,False,_G,North Western,
NWP-EDF01,2__GEDFE000,,,EDF Energy Customers Limited,G,True,EDFE_North West,LENCO,-130.000,0.000,C,-0.0044771,-82.667,-81.328,0.000,0.000,False,False,_G,North Western,
NWP-EDR01,2__GEDIR000,,,British Gas Trading Ltd,G,True,2__GEDIR000,BRITGAS,0.000,0.000,C,-0.0036499,0.000,0.000,0.000,0.000,False,False,_G,North Western,
NWP-ENR01,2__GENRD000,,,British Gas Trading Ltd,G,True,2__GENRD000,BRITGAS,-134.600,0.000,C,-0.0044771,-84.704,-61.983,0.000,0.000,False,False,_G,North Western,
NWP-EON01,2__GEOND000,,,E.ON Next Energy Ltd,G,True,2__GEOND000,NITTWO01,-316.000,2.000,C,-0.0044771,-194.688,-194.119,1.232,1.229,False,False,_G,North Western,
NWP-EST01,2__GEENG000,,,E.ON Energy Solutions Limited,G,True,2__GEENG000,PGENERGY,0.000,0.000,C,-0.0032251,0.000,0.000,0.000,0.000,False,False,_G,North Western,
NWP-GDF01,2__GRWED000,,,ENGIE Power Limited,G,True,2__GRWED000,RWETDL,-96.000,16.000,C,-0.0044771,-68.314,-64.589,11.386,10.765,False,False,_G,North Western,
NWP-HPW01,2__GHPOW000,,,Drax Energy Solutions Limited,G,True,2__GHPOW000,HAVEN,-213.360,21.500,C,-0.0044771,-166.272,-133.115,16.755,13.414,False,False,_G,North Western,
NWP-HVN01,2__GHAVE000,,,Drax Energy Solutions Limited,G,True,2__GHAVE000,HAVEN,0.000,61.360,C,-0.0044771,0.000,0.000,13.499,13.499,False,False,_G,North Western,
NWP-INE01,2__GINDE000,,,npower limited,G,True,INDE NORWEB,NEEB,-21.280,0.000,C,-0.0041054,-9.238,-7.733,0.000,0.000,False,False,_G,North Western,
NWP-LON01,2__GLOND000,,,EDF Energy Customers Limited,G,True,LE Default BMUid NORW,LENCO,-320.000,0.000,C,-0.0044771,-219.936,-187.680,0.000,0.000,False,False,_G,North Western,
NWP-MEC01,2__GNUCE000,,,NDA,G,False,2__GNUCE000,MAGNOX,0.000,0.000,C,-0.0044771,0.000,0.000,0.000,0.000,False,False,_G,North Western,
NWP-MID01,2__GMIDE000,,,Npower Limited,G,True,NPEC NORWEB Area MIDE,NPOWER01,-5.240,0.000,C,-0.0041054,-2.853,-2.976,0.000,0.000,False,False,_G,North Western,
NWP-MNW01,2__GMANW000,,,ScottishPower Energy Retail,G,True,2__GMANW000,SPSUP01,-5.400,0.000,C,-0.0044771,-3.002,-3.131,0.000,0.000,False,False,_G,North Western,
NWP-NEE01,2__GNEEB000,,,npower limited,G,True,2__GNEEB000,NEEB,-21.040,0.000,C,-0.0041054,-12.742,-12.456,0.000,0.000,False,False,_G,North Western,
NWP-NPE01,2__GNATP000,,,Npower Commercial Gas Limited,G,True,NPEC NORWEB Area NATP,NPOWER02,-250.000,36.000,C,-0.0044771,-171.550,-134.925,24.703,19.429,False,False,_G,North Western,
NWP-NWP01,2__GNORW000,,,E.ON Energy Solutions Limited,G,True,2__GNORW000,PGENERGY,0.000,0.000,C,-0.0031618,0.000,0.000,0.000,0.000,False,False,_G,North Western,
NWP-OCT01,2__GMRCY000,,,Octopus Energy Limited,G,True,2__GMRCY000,MERCURY,-524.516,574.840,C,-0.0044771,-305.268,-319.850,334.557,350.537,False,False,_G,North Western,
NWP-OGA01,2__GOGAS000,,,British Gas Trading Ltd,G,True,2__GOGAS000,BRITGAS,0.000,0.000,C,-0.0044771,0.000,0.000,0.000,0.000,False,False,_G,North Western,
NWP-OVO01,2__GOVOE000,,,OVO Electricity Ltd,G,False,2__GOVOE000,OVOE,-87.600,12.260,C,-0.0044771,-47.707,-50.650,6.677,7.089,False,False,_G,North Western,
NWP-PGE01,2__GEMEB000,,,E.ON Energy Solutions Limited,G,True,2__GEMEB000,PGENERGY,0.000,0.000,C,-0.0044771,0.000,0.000,0.000,0.000,False,False,_G,North Western,
NWP-PGU01,2__GPGEN000,,,E.ON UK LTD,G,True,2__GPGEN000,POWERGEN,0.000,0.000,C,-0.0044771,0.000,0.000,0.000,0.000,False,False,_G,North Western,
NWP-RNW01,2__GRENC000,,,ECOTRICITY LIMITED,G,False,2__GRENC000,RENC,0.000,0.000,C,-0.0044771,0.000,0.000,0.000,0.000,False,False,_G,North Western,
NWP-SEE01,2__GSEEB000,,,EDF Energy Customers Limited,G,True,2__GSEEB000,LENCO,-2.000,0.000,C,-0.0044771,-1.248,-0.930,0.000,0.000,False,False,_G,North Western,
NWP-SEL01,2__GSMAR000,,,Smartestenergy Limited,G,True,2__GSMAR000,SMARTEST,-143.410,0.000,C,-0.0044771,-108.389,-84.010,0.000,0.000,False,False,_G,North Western,
NWP-SPC01,2__GSPOW000,,,ScottishPower Energy Retail,G,True,2__GSPOW000,SPSUP01,-104.200,0.000,C,-0.0044771,-65.907,-65.406,0.000,0.000,False,False,_G,North Western,
NWP-SSE01,2__GHYDE000,,,OVO Electricity Ltd,G,True,SSE SBMU1 - Norweb GSPG,OVOE,0.000,0.000,C,-0.0036499,0.000,0.000,0.000,0.000,False,False,_G,North Western,
NWP-STH01,2__GSOUT000,,,OVO Electricity Ltd,G,True,SE SBMU1 - Norweb GSPG,OVOE,0.000,0.000,C,0.0000456,0.000,0.000,0.000,0.000,False,False,_G,North Western,
NWP-SWA01,2__GSWAE000,,,OVO Electricity Ltd,G,True,SWA SBMU1 - Norweb GSPG,OVOE,0.000,0.000,C,-0.0036499,0.000,0.000,0.000,0.000,False,False,_G,North Western,
NWP-SWT01,2__GSWEB000,,,EDF Energy Customers Limited,G,True,SWEB Default BMUid NORW,LENCO,0.000,0.000,C,-0.0044771,0.000,0.000,0.000,0.000,False,False,_G,North Western,
NWP-SYM01,2__GSYMB000,,,E.ON Next Energy Ltd,G,True,2__GSYMB000,NITTWO01,0.000,0.000,C,-0.0021672,0.000,0.000,0.000,0.000,False,False,_G,North Western,
NWP-TFE01,2__GTGPL000,,,TotalEnergies Gas & Power Ltd,G,True,2__GTGPL000,TFEGP,-216.509,84.000,C,-0.0044771,-134.582,-107.042,52.214,41.530,False,False,_G,North Western,
NWP-TIL01,2__GTILL000,,,British Gas Trading Ltd,G,True,2__GTILL000,BRITGAS,-270.095,0.000,C,-0.0044771,-156.277,-162.894,0.000,0.000,False,False,_G,North Western,
NWP-YEP01,2__GYELG000,,,npower limited,G,True,_G  Default BM NORWEB,YE,-0.060,0.000,C,-0.0041054,-0.034,-0.035,0.000,0.000,False,False,_G,North Western,
OCHLB-1,T_OCHLB-1,,,HD143OCK Ltd,T,True,Ocker Hill,CESGOL01,-57.624,58.000,P,0.0133452,-23.050,-23.050,23.200,23.200,True,False,,,
OLDHB-1,E_OLDHB-1,,,Field Oldham Ltd,E,True,Oldham BESS,FIELD,-20.000,20.000,P,-0.0044771,-8.000,-8.000,8.000,8.000,True,False,_G,North Western,
OMNDO-1,T_OMNDW-1,48W00000OMNDO-1J,WIND,Ormonde Energy Ltd,T,True,Ormonde Energy Limited 1,ORMONDE,0.000,150.760,P,-0.0044771,0.000,0.000,60.304,60.304,True,False,,,
OVRHB-1,E_OVRHB-1,,OTHER,Flexitricity Limited,E,True,Overhill BESS,FLEXTRCY,0.000,49.000,P,-0.0200357,0.000,0.000,19.600,19.600,True,False,_P,North Scotland,
PARHD-1,T_PARHD-1,,,EDF Energy Customers Limited,T,True,T_PARHD-1,LENCO,-8.000,0.000,C,-0.0066390,-2.378,-2.378,0.000,0.000,False,False,,,
PAUHW-1,2__PENEC002,48W00000PAUHW-11,WIND,Eneco Energy Trade,S,True,Pauls Hill Windfarm,ENECOUK,-0.400,70.167,C,-0.0200357,-0.142,-0.134,24.916,23.576,False,False,_P,North Scotland,
PEHE-1,T_PEHE-1,48W000000PEHE-15,CCGT,SSE Thermal Generation,T,True,Peterhead Block 1,SSETGSL,-0.074,1200.000,P,-0.0200357,-0.030,-0.030,480.000,480.000,True,False,,,
PEHE-2,T_PEHE-2,48W000000PEHE-23,,SSE Thermal Generation,T,True,Peterhead Unit 2,SSETGSL,0.000,0.000,C,-0.0200357,0.000,0.000,0.000,0.000,False,False,,,
